id,title,year,category,materials,dimensions,image-main,image-thumb,extra-view-01,extra-view-02,extra-view-03,extra-view-04,extra-view-05,extra-view-06,status,tags,slug,subtitle,shop_drawing,description,related_works,related_sketches
gg-songlines-red,Songlines Red,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-songlines-red-main.jpg,gg-songlines-red-thumb.jpg,,,,,,,,,songlines-red,,,,,
gg-stars-blue,Stars Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-stars-blue-main.jpg,gg-stars-blue-thumb.jpg,,,,,,,,,stars-blue,,,,,
gg-stars-green,Stars Green,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-stars-green-main.jpg,gg-stars-green-thumb.jpg,,,,,,,,,stars-green,,,,,
gg-tree-of-life-blue,Tree of Life Blue,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-tree-of-life-blue-main.jpg,gg-tree-of-life-blue-thumb.jpg,,,,,,,,,tree-of-life-blue,,,,,
gg-tree-of-life-clear,Tree of Life Clear,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-tree-of-life-clear-main.jpg,gg-tree-of-life-clear-thumb.jpg,,,,,,,,,tree-of-life-clear,,,,,
gg-tree-of-life-red,Tree of Life Red,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-tree-of-life-red-main.jpg,gg-tree-of-life-red-thumb.jpg,,,,,,,,,tree-of-life-red,,,,,
gg-tree-of-life-white,Tree of Life White,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-tree-of-life-white-main.jpg,gg-tree-of-life-white-thumb.jpg,,,,,,,,,tree-of-life-white,,,,,
gg-wellspring-01,Wellspring I,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-wellspring-01-main.jpg,gg-wellspring-01-thumb.jpg,,,,,,,,,wellspring-01,,,,,
gg-wellspring-02,Wellspring II,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-wellspring-02-main.jpg,gg-wellspring-02-thumb.jpg,,,,,,,,,wellspring-02,,,,,
gg-wellspring-open-blank,Wellspring Open - Blank,1992,GG,hand blown graal glass,9 × 4 × 4 in.,gg-wellspring-open-blank-main.jpg,gg-wellspring-open-blank-thumb.jpg,,,,,,,,,wellspring-open-blank,,,,,
gg-wellspring-open,Wellspring Open,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-wellspring-open-main.jpg,gg-wellspring-open-thumb.jpg,,,,,,,,,wellspring-open,,,,,
gg-wellspring-orange,Wellspring Orange,1992,GG,hand blown graal glass,10 × 8 × 8 in.,gg-wellspring-orange-main.jpg,gg-wellspring-orange-thumb.jpg,,,,,,,,,wellspring-orange,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
